mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.182,0.878,4.852,0.9520000000000001,0.42,0.129,6.354,78.37,0.0
0.21899999999999997,0.85,3.966,0.871,0.451,0.139,5.428,80.093,0.0
0.335,0.8009999999999999,3.909,0.826,0.511,0.177,5.422999999999999,77.388,0.0
0.402,0.778,3.6519999999999997,0.767,0.529,0.183,5.13,76.672,0.0
0.405,0.774,3.237,0.747,0.516,0.188,4.688,75.646,0.0
0.4270000000000001,0.7759999999999999,3.278,0.7090000000000001,0.516,0.19899999999999998,4.702,75.14699999999998,0.0
0.385,0.7909999999999999,3.141,0.701,0.4970000000000001,0.185,4.524,77.506,0.0
0.429,0.778,2.9610000000000003,0.652,0.499,0.197,4.309,76.33,0.0
0.43200000000000005,0.78,2.855,0.616,0.491,0.2,4.162,74.847,0.0
0.462,0.7659999999999999,2.701,0.606,0.513,0.217,4.037,76.08800000000001,0.0
0.503,0.746,2.665,0.586,0.523,0.213,3.987,75.472,0.0
0.515,0.762,2.679,0.5870000000000001,0.516,0.213,3.995,74.928,0.0
0.524,0.764,2.597,0.5710000000000001,0.505,0.217,3.889,74.696,0.0
0.545,0.753,2.637,0.568,0.514,0.207,3.927,73.59100000000001,0.0
0.494,0.758,2.555,0.542,0.506,0.201,3.804,74.781,0.0
0.5820000000000001,0.764,2.55,0.536,0.506,0.205,3.7969999999999997,72.384,0.0
0.552,0.748,2.573,0.537,0.513,0.204,3.827,73.27600000000001,0.0
0.556,0.767,2.38,0.509,0.48700000000000004,0.21100000000000002,3.5869999999999997,72.743,0.0
0.613,0.764,2.29,0.503,0.49700000000000005,0.215,3.505,71.964,0.0
0.601,0.75,2.4530000000000003,0.493,0.502,0.19899999999999998,3.647,76.27600000000001,0.0
0.616,0.754,2.369,0.497,0.502,0.207,3.575,72.922,0.0
0.586,0.767,2.356,0.481,0.49,0.205,3.532,75.51,0.0
0.562,0.771,2.251,0.469,0.473,0.191,3.384,74.804,0.0
0.627,0.77,2.356,0.487,0.478,0.202,3.522,74.245,0.0
0.655,0.78,2.159,0.466,0.478,0.203,3.305,76.023,0.0
0.618,0.773,2.236,0.448,0.47,0.198,3.352,75.235,0.0
0.655,0.766,2.257,0.453,0.48,0.207,3.397,75.343,0.0
0.613,0.767,2.197,0.442,0.467,0.198,3.303,77.647,0.0
0.647,0.77,2.259,0.432,0.464,0.189,3.344,74.693,0.0
0.598,0.782,2.128,0.437,0.454,0.193,3.212,76.774,0.0
0.613,0.781,2.115,0.424,0.457,0.184,3.18,75.773,0.0
0.641,0.788,2.113,0.422,0.448,0.184,3.166,74.908,0.0
0.65,0.795,2.089,0.411,0.44,0.172,3.112,76.606,0.0
0.698,0.798,2.2,0.401,0.425,0.191,3.217,74.198,0.0
0.633,0.79,2.166,0.417,0.446,0.17,3.199,76.593,0.0
